Date,MMM,AXP,AAPL,BA,CAT,CVX,CSCO,KO,DIS,DWDP,XOM,GS,HD,IBM,INTC,JNJ,JPM,MCD,MRK,MSFT,NKE,PFE,PG,TRV,UTX,UNH,VZ,V,WMT,WBA
11-11-2014,141.1387713,85.7782138,102.3063432,112.7795242,89.53263725,99.60082358,21.91298673,37.00359829,83.84429276,,83.2313669,181.0911324,89.61785865,140.2624064,29.51218018,96.99660678,55.03601304,84.10636832,51.97110784,44.24650759,45.14118278,26.03321466,78.06524133,93.43971889,97.92665205,89.64050562,41.58433505,60.58752265,70.74338743,62.13963867
12-11-2014,141.6508272,85.60056108,103.7518749,113.2383433,89.93432468,98.93648172,21.87813506,37.17769191,83.76974794,,82.34216135,179.4867185,89.93746585,139.0770903,29.57419917,96.85410878,54.309613,84.27433353,51.91858524,44.16502231,45.58365011,26.11907619,77.89983042,93.54864415,98.35179085,89.63113781,41.75688416,61.24257535,70.91350822,62.08440344
13-11-2014,142.2527175,85.15175421,105.2160587,115.6313995,88.29264559,97.92735483,22.37477134,37.24732935,84.31951603,,81.72058076,179.5433449,90.40317919,139.8243548,29.83999485,97.13910478,54.01367224,84.40693765,52.11992186,44.91649768,45.73113922,26.11907619,77.13371676,93.70295493,98.35179085,89.83722948,42.06911588,60.9922088,74.26220166,61.95321976
14-11-2014,142.7018893,84.77774848,106.4843962,115.9282825,88.4934893,98.71783756,22.93239804,37.19510127,84.60837723,,82.0918025,179.297964,89.70917499,141.0010817,30.07921096,96.32864741,54.05851175,85.05227766,51.70849486,44.88933592,45.436161,26.05038697,76.70713074,92.97678653,97.72424567,89.09717305,42.31561461,60.48661421,74.28010911,61.92546294
17-11-2014,142.5581543,84.27284075,106.307202,115.5324386,88.80785339,98.234093,23.05873534,37.3604902,84.2449712,,82.10906863,179.2507753,89.51741067,141.0010817,30.33614678,96.45333316,54.14819076,84.84011108,52.04989173,44.78068888,45.70259294,26.03321466,76.47207314,93.26725389,97.65148681,90.37119424,42.23344837,60.71996556,74.82628638,61.57387656
18-11-2014,143.869736,84.69359719,107.6874517,117.5476439,89.1047528,97.99646409,23.17200326,37.89147574,84.12383586,,81.9018751,178.9770812,87.64542565,139.0513226,30.75256001,96.92535778,54.28270929,85.22908314,52.42630366,44.40947815,45.89765918,26.26504078,76.56783735,93.35802494,98.95205146,91.98245633,42.08554913,60.70295036,75.02326835,62.97096978
19-11-2014,143.4520062,84.61879605,106.9413708,118.4023068,88.45855996,98.84513876,23.16764681,38.49209871,83.69520311,,82.54072181,178.5523834,88.30290331,138.6562172,30.4336052,96.86301491,54.3454846,85.36168725,52.20745952,43.93567986,46.12602942,26.13624849,77.24689264,93.52141283,98.82472345,90.73653855,41.48573556,60.73455002,76.09771544,62.72115841
20-11-2014,143.9306914,84.73099776,108.4708366,118.4832749,89.14841448,99.55802548,23.35933098,38.51821276,82.83793762,,82.72201615,179.0808962,89.09735549,137.9776667,31.85118215,96.34645966,53.91502532,85.43240945,51.97986161,44.37303213,46.29254938,26.13624849,77.02054088,93.91172835,98.97024117,90.72717075,41.23923684,61.17451454,75.73061269,62.30480613
21-11-2014,144.653235,84.51594447,108.6200528,119.4548917,92.95571281,100.6358423,23.4203214,38.73582978,82.89384623,,83.57668945,178.9298926,89.74570153,138.2181656,31.53222734,96.68489241,54.21096608,85.46777054,52.22496705,43.71700373,46.34964194,26.14483465,77.13371676,94.22942702,100.3162801,90.59602151,41.25567009,61.79435406,75.79328877,62.53611295
24-11-2014,144.4003448,85.12370378,110.6298082,121.1012425,92.52782837,99.79565439,23.55101516,38.53562212,84.40337896,,82.63568551,179.3829035,89.85528114,139.274643,32.11697783,95.80642778,54.66832907,85.90094398,51.86606265,43.36165501,46.60180073,25.94735314,76.70713074,94.21127281,98.9429566,90.77400976,40.67228977,61.89158379,76.4648182,62.66564477
